#decoys scores
complex.820.pdb -1.9156
complex.821.pdb -4.6791
complex.822.pdb -1.7883
complex.823.pdb -3.0482
complex.824.pdb -0.6750
complex.825.pdb -3.5090
complex.826.pdb 0.9103
complex.827.pdb -2.7895
complex.828.pdb 2.8789
complex.829.pdb -3.5825
complex.830.pdb 4.2445
complex.831.pdb -3.0040
complex.832.pdb 8.4353
complex.833.pdb 1.7780
complex.834.pdb -0.7073
complex.835.pdb -5.5051
complex.836.pdb 3.4379
complex.837.pdb -6.6850
complex.838.pdb -0.7077
complex.839.pdb -3.0062
complex.840.pdb 3.4464
complex.841.pdb 1.5399
complex.842.pdb -3.0389
complex.843.pdb -1.3084
complex.844.pdb -1.8423
complex.845.pdb -4.0935
complex.846.pdb -4.6167
complex.847.pdb -6.1320
complex.848.pdb -4.6702
complex.849.pdb -1.6539
complex.850.pdb -2.6478
complex.851.pdb -6.4240
complex.852.pdb -2.9442
complex.853.pdb 3.8237
complex.854.pdb 7.4072
complex.855.pdb -1.3955
complex.856.pdb 1.4840
complex.857.pdb -2.0397
complex.858.pdb -2.3844
complex.859.pdb -3.8915
complex.860.pdb 5.3299
complex.861.pdb -4.6822
complex.862.pdb -3.2696
complex.863.pdb 7.6255
complex.864.pdb -3.3352
complex.865.pdb -4.9163
complex.866.pdb 1.7464
complex.867.pdb 1.5551
complex.868.pdb 7.5222
complex.869.pdb -1.5147
complex.870.pdb -4.1540
complex.871.pdb -6.1993
complex.872.pdb 1.8983
complex.873.pdb -3.7943
complex.874.pdb -1.9430
complex.875.pdb 3.6470
complex.876.pdb -4.6168
complex.877.pdb 2.1173
complex.878.pdb -4.6851
complex.879.pdb 5.9761
complex.880.pdb -1.1760
complex.881.pdb -2.4062
complex.882.pdb 2.6226
complex.883.pdb 5.1984
complex.884.pdb 5.6094
complex.885.pdb 5.0860
complex.886.pdb -3.2916
complex.887.pdb 2.5305
complex.888.pdb 6.4380
complex.889.pdb 2.8546
complex.890.pdb -3.8815
complex.891.pdb -0.5033
complex.892.pdb -3.9691
complex.893.pdb -3.5629
complex.894.pdb 1.8173
complex.895.pdb 1.1492
complex.896.pdb -0.9321
complex.897.pdb -1.1467
complex.898.pdb -2.6281
complex.899.pdb -2.7598
complex.900.pdb 4.8770
complex.901.pdb -2.4478
complex.902.pdb 4.9528
complex.903.pdb -2.8098
complex.904.pdb -3.0815
complex.905.pdb -2.4189
complex.906.pdb 0.8905
complex.907.pdb 1.6814
complex.908.pdb -5.9746
complex.909.pdb 0.5134
complex.910.pdb 0.2046
complex.911.pdb -5.7591
complex.912.pdb -3.9363
complex.913.pdb -5.4566
complex.914.pdb -5.5893
complex.915.pdb -2.0015
complex.916.pdb 3.5042
complex.917.pdb -1.7661
complex.918.pdb 1.9756
complex.919.pdb -4.4553
complex.920.pdb 0.6485
complex.921.pdb 5.8765
complex.922.pdb -0.0801
complex.923.pdb 2.4386
complex.924.pdb -3.6220
complex.925.pdb -4.2695
complex.926.pdb 0.0311
complex.927.pdb 0.7597
complex.928.pdb -1.3354
complex.929.pdb 2.5403
complex.930.pdb 4.6948
complex.931.pdb -0.8553
complex.932.pdb -1.4911
complex.933.pdb 4.7337
complex.934.pdb -2.2589
complex.935.pdb 1.4217
complex.936.pdb -2.5594
complex.937.pdb -0.6607
complex.938.pdb -2.0077
complex.939.pdb -4.7872
complex.940.pdb -2.6054
complex.941.pdb 3.8352
complex.942.pdb 0.4617
complex.943.pdb 2.7919
complex.944.pdb -3.1256
complex.945.pdb 2.6116
complex.946.pdb -5.1373
complex.947.pdb -3.0602
complex.948.pdb -0.6062
complex.949.pdb 1.2996
complex.950.pdb 6.1019
complex.951.pdb 5.4069
complex.952.pdb 3.6139
complex.953.pdb -0.8463
complex.954.pdb 6.3302
complex.955.pdb 5.8218
complex.956.pdb -1.2301
complex.957.pdb -3.6288
complex.958.pdb 3.6250
complex.959.pdb -0.0212
complex.960.pdb -0.2127
complex.961.pdb 1.6291
complex.962.pdb -1.8328
complex.963.pdb 3.4416
complex.964.pdb 1.2957
complex.965.pdb -0.9806
complex.966.pdb -1.1414
complex.967.pdb -5.3217
complex.968.pdb -1.1992
complex.969.pdb -1.3566
complex.970.pdb 6.6138
complex.971.pdb -0.5817
complex.972.pdb 5.2220
complex.973.pdb 2.1387
complex.974.pdb 2.4881
complex.975.pdb -4.5160
complex.976.pdb 0.6491
complex.977.pdb 0.3139
complex.978.pdb -4.8657
complex.979.pdb -3.5168
complex.980.pdb 0.4158
complex.981.pdb -3.7597
complex.982.pdb -1.2925
complex.983.pdb 1.6265
complex.984.pdb -0.2118
complex.985.pdb -0.8710
complex.986.pdb -6.4656
complex.987.pdb 0.5078
complex.988.pdb -1.9258
complex.989.pdb -4.0373
complex.990.pdb 3.7748
complex.991.pdb 0.7552
complex.992.pdb 5.1575
complex.993.pdb 5.0399
complex.994.pdb 1.1858
complex.995.pdb -0.4870
complex.996.pdb 0.9547
